name,region
Algeria,Africa
Angola,Africa
Benin,Africa
Botswana,Africa
Burkina Faso,Africa
Burundi,Africa
Cameroon,Africa
Cape Verde,Africa
Central African Republic,Africa
Chad,Africa
Comoros,Africa
Congo,Africa
Cote d'Ivoire,Africa
Djibouti,Africa
Equatorial Guinea,Africa
Eritrea,Africa
Ethiopia,Africa
Gabon,Africa
Gambia,Africa
Ghana,Africa
Guinea,Africa
Guinea-Bissau,Africa
Kenya,Africa
Lesotho,Africa
Liberia,Africa
Madagascar,Africa
Malawi,Africa
Mali,Africa
Mauritania,Africa
Mauritius,Africa
Morocco,Africa
Mozambique,Africa
Namibia,Africa
Niger,Africa
Nigeria,Africa
Rwanda,Africa
Sao Tome & Principe,Africa
Senegal,Africa
Seychelles,Africa
Sierra Leone,Africa
Somalia,Africa
South Africa,Africa
South Sudan,Africa
Sudan,Africa
Swaziland,Africa
Tanzania,Africa
Togo,Africa
Uganda,Africa
Zambia,Africa
Zimbabwe,Africa
Australia,Australia / New Zealand
Fiji,Australia / New Zealand
Kiribati,Australia / New Zealand
Marshall Islands,Australia / New Zealand
Micronesia,Australia / New Zealand
Nauru,Australia / New Zealand
New Zealand,Australia / New Zealand
Palau,Australia / New Zealand
Papua New Guinea,Australia / New Zealand
Samoa,Australia / New Zealand
Solomon Islands,Australia / New Zealand
Tonga,Australia / New Zealand
Tuvalu,Australia / New Zealand
Vanuatu,Australia / New Zealand
Taiwan,China
Hong Kong,China
China,China
Albania,European Union
Andorra,European Union
Armenia,European Union
Austria,European Union
Belarus,European Union
Belgium,European Union
Bosnia and Herzegovina,European Union
Bulgaria,European Union
Croatia,European Union
Cyprus,European Union
Czech Republic,European Union
Denmark,European Union
Estonia,European Union
Finland,European Union
France,European Union
Georgia,European Union
Germany,European Union
Greece,European Union
Hungary,European Union
Iceland,European Union
Ireland,European Union
Italy,European Union
Kosovo,European Union
Latvia,European Union
Liechtenstein,European Union
Lithuania,European Union
Luxembourg,European Union
Macedonia,European Union
Malta,European Union
Moldova,European Union
Monaco,European Union
Montenegro,European Union
Netherlands,European Union
Norway,European Union
Poland,European Union
Portugal,European Union
Romania,European Union
Russia,European Union
San Marino,European Union
Serbia,European Union
Slovakia,European Union
Slovenia,European Union
Spain,European Union
Sweden,European Union
Switzerland,European Union
Ukraine,European Union
United Kingdom of Great Britain,European Union
Vatican City,European Union
Azerbaijan,European Union
Turkey,European Union
Bangladesh,Indian Subcontinent
Bhutan,Indian Subcontinent
Nepal,Indian Subcontinent
Pakistan,Indian Subcontinent
Sri Lanka,Indian Subcontinent
India,Indian Subcontinent
Afghanistan,Indian Subcontinent
Maldives,Indian Subcontinent
Bahrain,Middle Asia
Egypt,Middle Asia
Iraq,Middle Asia
Israel,Middle Asia
Jordan,Middle Asia
Kuwait,Middle Asia
Lebanon,Middle Asia
Libya,Middle Asia
Oman,Middle Asia
Palestine,Middle Asia
Qatar,Middle Asia
Saudi Arabia,Middle Asia
Syria,Middle Asia
Tunisia,Middle Asia
United Arab Emirates,Middle Asia
Yemen,Middle Asia
United States of America,North America
Greenland,North America
Canada,North America
Mexico,North America
Bahamas,North America
Barbados,North America
Belize,North America
Costa Rica,North America
Cuba,North America
Dominican Republic,North America
El Salvador,North America
Grenada,North America
Guatemala,North America
Haiti,North America
Honduras,North America
Jamaica,North America
Nicaragua,North America
Panama,North America
Saint Lucia,North America
Saint Vincent and the Grenadines,North America
Saint Kitts and Nevis,North America
Antigua and Barbuda,North America
Argentina,South America
Bolivia,South America
Brazil,South America
Chile,South America
Colombia,South America
Ecuador,South America
Guyana,South America
Paraguay,South America
Peru,South America
Suriname,South America
Uruguay,South America
Venezuela,South America
Indonesia,South East Asia And Japan
Japan,South East Asia And Japan
South Korea,South East Asia And Japan
Laos,South East Asia And Japan
Malaysia,South East Asia And Japan
Mongolia,South East Asia And Japan
Myanmar,South East Asia And Japan
Philippines,South East Asia And Japan
Singapore,South East Asia And Japan
Thailand,South East Asia And Japan
Vietnam,South East Asia And Japan
Brunei,South East Asia And Japan
East Timor,South East Asia And Japan
