stemDia,rating,PTFE Chevron,PTFE Braid,RPTFE Graphite,Graphite,Low Emmission EVSP,High Intensity Gland,HIG Spagrapf,Gland Security System,Packing + Wiper PTFE,Packing + Wiper Graphite
0.375,ASME 150,38,56,63,125,38,38,38,38,38,38
0.375,ASME 300,38,56,95,190,38,38,38,38,38,38
0.375,ASME 600,38,56,125,250,38,38,38,38,38,38
0.375,ASME 900,38,56,160,320,38,38,38,38,38,38
0.375,ASME 1500,38,56,190,380,38,38,38,38,38,38
0.5,ASME 150,50,75,90,180,50,50,50,50,50,50
0.5,ASME 300,50,75,115,230,50,50,50,50,50,50
0.5,ASME 600,50,75,160,320,50,50,50,50,50,50
0.5,ASME 900,50,75,205,410,50,50,50,50,50,50
0.5,ASME 1500,50,75,250,500,50,50,50,50,50,50
0.5,ASME 2500,50,75,295,590,50,50,50,50,50,50
0.625,ASME 150,63,95,109,218,63,63,63,63,63,63
0.625,ASME 300,63,95,145,290,63,63,63,63,63,63
0.625,ASME 600,63,95,200,400,63,63,63,63,63,63
0.75,ASME 150,75,112.5,175,350,75,75,75,75,75,75
0.75,ASME 300,75,112.5,220,440,75,75,75,75,75,75
0.75,ASME 600,75,112.5,330,660,75,75,75,75,75,75
0.75,ASME 900,75,112.5,440,880,75,75,75,75,75,75
0.75,ASME 1500,75,112.5,550,1100,75,75,75,75,75,75
0.75,ASME 2500,75,112.5,660,1320,75,75,75,75,75,75
1,ASME 300,100,150,305,610,100,100,100,100,100,100
1,ASME 600,100,150,425,850,100,100,100,100,100,100
1,ASME 900,100,150,530,1060,100,100,100,100,100,100
1,ASME 1500,100,150,650,1300,100,100,100,100,100,100
1,ASME 2500,100,150,770,1540,100,100,100,100,100,100
1.25,ASME 300,120,180,400,800,120,120,120,120,120,120
1.25,ASME 600,120,180,550,1100,120,120,120,120,120,120
1.25,ASME 900,120,180,700,1400,120,120,120,120,120,120
1.25,ASME 1500,120,180,850,1700,120,120,120,120,120,120
1.25,ASME 2500,120,180,1020,2040,120,120,120,120,120,120
2,ASME 300,200,300,613,1225,200,200,200,200,200,200
2,ASME 600,200,300,862.5,1725,200,200,200,200,200,200
2,ASME 900,200,300,1125,2250,200,200,200,200,200,200
2,ASME 1500,200,300,1375,2750,200,200,200,200,200,200
2,ASME 2500,200,300,1623,3245,200,200,200,200,200,200
